id;id_exam;title;level;start_date;end_date
1;ebea24de-3649-4ed2-8c20-8f78b025680a;Berkshire Oregon deposit;FOUR;2020-05-24T16:17:34;2020-05-23T23:26:07
2;70ac2e5f-e1ce-47b9-8710-bf803fb388a9;overriding Fresh Money Market Account;THREE;2020-05-24T11:30:52;2020-05-23T23:46:18
3;be171907-1332-4963-85ef-8baae18d190f;Village Bike Squares;ONE;2020-05-24T12:26:21;2020-05-24T07:41:31
4;dc1d8e91-9572-451e-84d2-33884a161d52;bus Direct;FOUR;2020-05-24T08:42:11;2020-05-24T03:58:27
5;dabe0fec-3267-42d5-9617-19eeda97f08e;plug-and-play e-business Creative;THREE;2020-05-24T01:03:35;2020-05-24T09:53:37
6;c8949708-e7e1-451e-94f5-0681697746d7;Pine Generic;FOUR;2020-05-23T22:18:13;2020-05-23T22:36:59
7;b238cab3-72f0-4519-bd2a-83b62f0c76cf;channels;FIVE;2020-05-24T14:21:25;2020-05-23T16:34:54
8;89e24b17-8778-4d0a-b5dc-c44c65a84928;Chief;FIVE;2020-05-24T11:43:27;2020-05-24T09:18:41
9;c1758dc8-836e-4580-85b8-89a67373cb3c;mobile calculating;TWO;2020-05-24T15:35:50;2020-05-24T06:22:44
10;3d1c0f2f-61e7-4d80-9fde-e0f0eeb0344f;Generic Concrete Chicken Cambridgeshire Architect;THREE;2020-05-24T09:26:50;2020-05-23T16:50:41
